                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1836,                 3.4839,                 1.8478,                0.54542,                0.45458,                0.43596,                0.20184,                 1.8495,                 1.8996,                 1.6594,             0.00010637,             0.00010637,             0.00010637
                      2,                 1.7987,                 1.6442,                 1.5151,                0.67712,                0.63962,                 0.6516,                0.31494,                 1.7189,                 1.2634,                 1.5487,             0.00020697,             0.00020697,             0.00020697
                      3,                 1.7124,                 1.3707,                 1.4382,                0.65245,                0.67725,                0.69098,                0.33586,                  1.702,                 1.2099,                 1.5165,             0.00030047,             0.00030047,             0.00030047
                      4,                 1.6737,                 1.2298,                 1.3935,                0.69293,                0.70854,                0.73783,                0.36862,                 1.6742,                 1.0954,                 1.4832,             0.00029102,             0.00029102,             0.00029102
                      5,                 1.6482,                 1.1585,                 1.3739,                0.75666,                0.74202,                0.77686,                0.39839,                 1.6113,                 1.0146,                   1.44,             0.00028036,             0.00028036,             0.00028036
                      6,                 1.6228,                 1.1346,                 1.3683,                0.73382,                0.74441,                0.76859,                0.39004,                 1.6256,                 1.0287,                 1.4393,             0.00026971,             0.00026971,             0.00026971
                      7,                 1.6038,                 1.0571,                 1.3461,                0.76688,                 0.7564,                0.79035,                 0.4135,                 1.5931,                0.95256,                 1.4238,             0.00025905,             0.00025905,             0.00025905
                      8,                 1.5841,                 1.0306,                 1.3329,                0.75131,                0.78003,                0.79602,                0.41479,                 1.6054,                0.95038,                 1.4256,             0.00024839,             0.00024839,             0.00024839
                      9,                 1.5642,                 1.0055,                 1.3196,                0.78371,                0.78724,                0.81731,                0.43383,                 1.5614,                0.92137,                 1.3844,             0.00023773,             0.00023773,             0.00023773
                     10,                 1.5454,                0.97678,                  1.302,                0.76099,                0.77811,                0.81248,                0.42946,                 1.5656,                0.91452,                  1.413,             0.00022707,             0.00022707,             0.00022707
                     11,                 1.5395,                0.94899,                  1.306,                0.79894,                 0.7926,                0.82959,                0.44478,                 1.5436,                0.87506,                  1.389,             0.00021641,             0.00021641,             0.00021641
                     12,                 1.5155,                0.91778,                 1.2901,                0.78341,                0.80398,                0.82982,                0.44272,                 1.5313,                 0.8679,                   1.39,             0.00020575,             0.00020575,             0.00020575
                     13,                 1.5205,                0.91491,                 1.2948,                0.80313,                0.81467,                0.83932,                0.45537,                 1.5211,                0.83902,                 1.3697,             0.00019509,             0.00019509,             0.00019509
                     14,                 1.5067,                0.90113,                 1.2846,                0.80766,                0.81087,                0.84169,                0.45518,                 1.5322,                0.83731,                 1.3774,             0.00018443,             0.00018443,             0.00018443
                     15,                 1.4917,                0.89235,                 1.2796,                0.79075,                0.81761,                0.83815,                0.45905,                 1.5133,                 0.8393,                  1.369,             0.00017377,             0.00017377,             0.00017377
                     16,                 1.4852,                0.86523,                 1.2712,                 0.8074,                0.81078,                0.84667,                 0.4664,                 1.4999,                0.82439,                 1.3695,             0.00016311,             0.00016311,             0.00016311
                     17,                  1.469,                0.85354,                 1.2667,                0.82026,                0.82022,                0.85288,                0.46883,                 1.4986,                0.80992,                 1.3666,             0.00015246,             0.00015246,             0.00015246
                     18,                 1.4597,                0.84039,                   1.26,                0.81404,                0.81853,                0.85472,                0.47683,                 1.4872,                0.79437,                 1.3558,              0.0001418,              0.0001418,              0.0001418
                     19,                 1.4544,                0.82928,                 1.2561,                0.80645,                0.81808,                0.85717,                0.48022,                 1.4826,                0.79557,                 1.3417,             0.00013114,             0.00013114,             0.00013114
                     20,                 1.4327,                0.81024,                 1.2377,                0.82326,                0.81555,                0.85774,                 0.4779,                 1.4883,                0.78392,                 1.3504,             0.00012048,             0.00012048,             0.00012048
                     21,                 1.4157,                0.75127,                 1.2761,                0.79993,                0.84097,                0.86089,                 0.4782,                 1.4906,                0.78212,                 1.3566,             0.00010982,             0.00010982,             0.00010982
                     22,                 1.3856,                 0.7246,                  1.262,                0.80758,                0.82732,                0.86111,                0.48109,                 1.4863,                0.77933,                 1.3493,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     23,                 1.3795,                0.71264,                 1.2479,                0.81857,                0.83192,                0.86553,                0.48788,                 1.4749,                0.76023,                 1.3347,             8.8502e-05,             8.8502e-05,             8.8502e-05
                     24,                 1.3645,                0.69727,                 1.2394,                0.82567,                0.83418,                0.87046,                0.49128,                 1.4776,                0.74911,                 1.3462,             7.7843e-05,             7.7843e-05,             7.7843e-05
                     25,                  1.357,                0.69113,                 1.2412,                0.81661,                0.83842,                0.86766,                 0.4886,                  1.473,                0.74616,                 1.3458,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     26,                  1.345,                   0.68,                 1.2344,                0.82304,                0.83541,                0.86937,                0.49002,                 1.4857,                0.74345,                 1.3495,             5.6525e-05,             5.6525e-05,             5.6525e-05
                     27,                 1.3348,                0.67159,                 1.2256,                0.83688,                0.82888,                0.87387,                0.49478,                 1.4753,                0.73533,                 1.3512,             4.5866e-05,             4.5866e-05,             4.5866e-05
